Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2026,Hepaticobiliary System Development (GO:0061008),7/29,1.5286862745155923e-08,1.4422964465887949e-05,0,0,31.295793758480325,563.2076176064202,CEBPA;UGT1A10;NF1;UGT1A9;UGT1A8;UGT1A7;UGT1A6
GO_Biological_Process_2026,Flavone Metabolic Process (GO:0051552),5/10,2.8005756244442622e-08,1.4422964465887949e-05,0,0,97.47290640394088,1695.137256533478,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
GO_Biological_Process_2026,Liver Development (GO:0001889),7/40,1.657393280616342e-07,5.690383596782774e-05,0,0,20.852253882104627,325.5631035927578,CEBPA;UGT1A10;NF1;UGT1A9;UGT1A8;UGT1A7;UGT1A6
GO_Biological_Process_2026,Regulation of Fatty Acid Metabolic Process (GO:0019217),5/22,2.6436696687898784e-06,0.0006807449397133937,0,0,28.651115618661255,367.9760931879697,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
GO_Molecular_Function_2026,Retinoic Acid Binding (GO:0001972),5/24,4.195359544388453e-06,0.0009775187738425095,0,0,25.63261602281566,317.3710430696236,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
TRANSFAC_and_JASPAR_PWMs,MIB2 (human),35/1490,4.537668887903045e-06,0.0013249993152676,0,0,2.5496891325507023,31.369073070982317,ZMYND15;VPS29;PGCP;COX19;AIRE;PRCD;HMP19;PPM1E;C12ORF66;PTS;CXCL16;LFNG;SMPD3;CHRND;H2AFJ;RASSF5;TMEM129;EPS8L3;C16ORF11;SYT5;ANKRD26;PKLR;OSBPL5;VPS13D;KCTD2;PNMA2;NDC80;ARFGAP2;ARC;CLCF1;LGALS12;GPD1;S100A6;SFTPA1;RAD9B
WikiPathways_2024_Human,Glucuronidation WP698,5/26,6.383885535394057e-06,0.0013472006609072,0,0,23.18906873094065,277.3814632385073,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
WikiPathways_2024_Human,Codeine And Morphine Metabolism WP1604,4/14,1.048405183585442e-05,0.0013472006609072,0,0,38.78823529411765,444.7325366727612,UGT1A10;UGT1A9;UGT1A8;UGT1A6
GO_Biological_Process_2026,Cellular Response to Corticosteroid Stimulus (GO:0071384),5/27,7.768786225931754e-06,0.0016003699625419,0,0,22.133900582176445,260.41411906742854,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
GO_Molecular_Function_2026,Monocarboxylic Acid Binding (GO:0033293),5/34,2.523901714757888e-05,0.001700779971307,0,0,16.78528962119925,177.70786641248625,UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
