cpg_id,Mean_M_PD,Mean_M_Control,Delta_M,Mean_Beta_PD,Mean_Beta_Control,Delta_Beta,Direction,target_gene,distance_bp
cg01584094,-1.7527460121246594,-1.424970447722767,-0.3277755644018925,0.22883326743944432,0.27136379276380845,-0.04253052532436413,Hypomethylated,AATBC,22009
cg17818632,1.0208935885478616,1.2034949499009684,-0.18260136135310678,0.6698771573200772,0.697242081287286,-0.0273649239672088,Hypomethylated,LINC01700,11911
cg00274965,-1.5427871228682783,-1.351973721586366,-0.19081340128191226,0.25552128580333017,0.28148310867754095,-0.025961822874210783,Hypomethylated,OLIG2,4190
cg10915739,-1.4267504281389822,-1.2642194732721719,-0.16253095486681035,0.27111991018043513,0.293947137602681,-0.022827227422245855,Hypomethylated,OLIG2,4242
cg02254947,-1.0746426362726373,-0.9273397074408165,-0.14730292883182083,0.3219367416076065,0.3446177314353467,-0.022680989827740194,Hypomethylated,LINC01700,12054
cg08005189,1.6964415402539446,1.8797717540564232,-0.1833302138024786,0.76420686975943,0.7863324712450386,-0.022125601485608604,Hypomethylated,CYYR1-AS1,0
cg03372207,-0.8438593283628081,-0.7135416267885087,-0.13031770157429934,0.35780158463605516,0.37881302761935887,-0.021011442983303708,Hypomethylated,LINC01684,0
cg19318330,-0.5363974538471973,-0.4313039846073245,-0.10509346923987278,0.40810557423957666,0.4258124385343768,-0.017706864294800118,Hypomethylated,LINC01679,643
cg00743733,0.05127396370877665,0.15270210769006376,-0.1014281439812871,0.5088841657174188,0.5264365823294298,-0.017552416612011013,Hypomethylated,LOC150051,20822
cg02604403,-2.374703204663745,-2.195735578006684,-0.178967626657061,0.16164774215762595,0.1791719152015787,-0.017524173043952762,Hypomethylated,LINC01695,107826
cg13200482,0.8896433352565807,0.7808455667432965,0.10879776851328415,0.6494571186631563,0.6321010361643948,0.017356082498761416,Hypermethylated,PCBP3,0
cg24450548,0.2554078370693731,0.15841709595728953,0.09699074111208356,0.5441435720163053,0.5274240410846802,0.016719530931625037,Hypermethylated,TSPEAR,7261
cg10815453,-0.22652632712892168,-0.1297777409501795,-0.09674858617874219,0.4608264279761788,0.47752638369726386,-0.01669995572108507,Hypomethylated,RRP1B,6821
cg15660468,-0.6154642117995958,-0.716902343720076,0.10143813192048023,0.39493677135821637,0.3782650259779574,0.01667174538025895,Hypermethylated,LINC02575,0
cg06114934,-2.5303458658904185,-2.349354044806811,-0.18099182108360745,0.14755570445031624,0.1640430624614643,-0.016487358011148062,Hypomethylated,LINC01549,67704
cg15636421,0.11400767055645651,0.20708249279693697,-0.09307482224048046,0.51974574922095,0.5358231761847598,-0.01607742696380987,Hypomethylated,HUNK,2837
cg00211944,-0.41338152198081113,-0.3200152000465539,-0.0933663219342572,0.42885255428228036,0.4447718555921968,-0.015919301309916423,Hypomethylated,KRTAP19-8,26486
cg23879203,0.11399086157074917,0.20465043936290872,-0.09065957779215955,0.5197428409877197,0.5354038715670177,-0.01566103057929802,Hypomethylated,LINC00189,2424
cg06705775,-0.6808815081652837,-0.5940106991053508,-0.08687080905993294,0.38415454904000335,0.3984957323995238,-0.014341183359520449,Hypomethylated,LINC02573,185073
cg02515900,0.46121473145872555,0.5457596994927745,-0.08454496803404893,0.5792486255440462,0.5934610391573104,-0.014212413613264196,Hypomethylated,LINC01700,12183
cg01375160,0.3477045571182142,0.429282342667107,-0.08157778554889283,0.5599626396587284,0.5738449144894832,-0.01388227483075477,Hypomethylated,LINC01549,298908
cg15755387,-0.1378938697923479,-0.21805984460412403,0.08016597481177612,0.47612298819376525,0.4622848830536997,0.01383810514006556,Hypermethylated,SOD1,46148
cg06230839,1.0000736409226858,0.9154800886878941,0.0845935522347917,0.6666780096808173,0.6535232611073717,0.013154748573445563,Hypermethylated,RIPK4,2680
cg14172108,-0.030109911623842266,0.044784096946323175,-0.07489400857016544,0.4947825392973607,0.5077598695230069,-0.012977330225646178,Hypomethylated,OLIG2,4062
cg23956282,-1.9139572403361491,-2.027605026309709,0.11364778597355985,0.20971336071323163,0.19695607056543799,0.012757290147793643,Hypermethylated,LOC388813,42538
cg23553008,0.9174568722591213,0.9985196906647165,-0.08106281840559515,0.6538334514709186,0.6664386116327167,-0.012605160161798024,Hypomethylated,TSPEAR,12387
cg04848359,0.04438916190357571,0.11672447488764151,-0.0723353129840658,0.5076914488341454,0.5202157836916117,-0.01252433485746629,Hypomethylated,IGSF5,9377
cg13329407,-3.035036527055345,-2.8582196242753066,-0.17681690278003837,0.10873510280742352,0.12119450340502251,-0.012459400597598994,Hypomethylated,LINC01684,0
cg13053992,0.8061277850039225,0.8828490714106401,-0.0767212864067176,0.6361667835882717,0.6483842057105338,-0.012217422122262067,Hypomethylated,LOC102723996,2322
cg00647120,-0.6093242166536126,-0.5364769835077955,-0.07284723314581709,0.3959542268004959,0.4080922583812241,-0.012138031580728181,Hypomethylated,ICOSLG,10306
cg18314300,0.7417100639758327,0.8166868667202685,-0.07497680274443574,0.6257704519355246,0.6378591344468681,-0.01208868251134354,Hypomethylated,LINC00111,37197
cg16815122,-0.7723288442961427,-0.846892043936936,0.07456319964079328,0.3692728494343169,0.3573187052421762,0.011954144192140692,Hypermethylated,SIM2,2652
cg05556562,-0.5035944454296103,-0.43479990435145516,-0.06879454107815514,0.41360915751827854,0.42522008530550215,-0.011610927787223613,Hypomethylated,LINC01679,6961
cg12351803,0.9986075909288787,1.0743876305991198,-0.07578003967024105,0.6664521556394459,0.6780246723951926,-0.011572516755746665,Hypomethylated,PSMG1,70006
cg19972675,0.2534683247630332,0.32039289675813437,-0.06692457199510116,0.5438100801120526,0.5552927947984263,-0.01148271468637374,Hypomethylated,SMIM34A,4777
cg02965237,-2.100584226689819,-1.9955019472143467,-0.10508227947547222,0.1890777254422494,0.20049931664526316,-0.011421591203013753,Hypomethylated,OLIG2,4574
cg21911425,-2.2445307709996776,-2.1364639650030077,-0.10806680599666985,0.17425155960059768,0.18529393741362865,-0.011042377813030968,Hypomethylated,PPP1R2P2,18250
cg15218381,-1.849060718499366,-1.7588663489841274,-0.09019436951523851,0.2172658786147482,0.22808549703447978,-0.010819618419731586,Hypomethylated,LOC101928269,20953
cg15498142,-1.0157225627110225,-0.9495817814660813,-0.06614078124494116,0.3309159591441401,0.34114408713167155,-0.010228127987531421,Hypomethylated,LINC00319,0
cg03391528,0.5694225646431058,0.5083453029020124,0.0610772617410934,0.5974120863692944,0.5871892982469875,0.010222788122306925,Hypermethylated,LOC101928126,378
cg17129920,-1.4391049760102468,-1.3653242131596564,-0.07378076285059043,0.2694309602481262,0.2796153032391788,-0.010184342991052642,Hypomethylated,LOC101928126,42709
cg09762582,-0.5234872687603056,-0.46416193346364626,-0.05932533529665934,0.41026893569159034,0.4202535737984344,-0.00998463810684408,Hypomethylated,ICOSLG,18699
cg04424321,-0.30218091977487055,-0.24493419050603074,-0.05724672926883981,0.4478266422606136,0.45765779520371264,-0.009831152943099053,Hypomethylated,LINC00158,35620
cg23206332,-0.5512248253496083,-0.4927630962884566,-0.05846172906115166,0.4056253404951291,0.4154312275876018,-0.00980588709247271,Hypomethylated,KCNE2,81499
cg16071993,-1.6961118067403635,-1.6192800470461335,-0.07683175969423006,0.2358343169277046,0.24556649092556646,-0.00973217399786186,Hypomethylated,RRP1B,7034
cg21188370,-0.8530778180406196,-0.7934488733804447,-0.059628944660174876,0.35633468358311005,0.3658697800983305,-0.009535096515220443,Hypomethylated,UBASH3A,7663
cg23720384,0.12611913718760362,0.07192944023780234,0.054189696949801275,0.5218408736759229,0.5124618408229347,0.009379032852988245,Hypermethylated,LINC00308,258208
cg01123478,-2.5832110022237327,-2.696096302359532,0.11288530013579923,0.14300586604736565,0.13368161214054128,0.00932425390682437,Hypermethylated,KRTAP13-1,12223
cg15377887,-1.2434811802416834,-1.3084389908748142,0.06495781063313077,0.2969393036216451,0.2876262524009067,0.009313051220738389,Hypermethylated,LINC00323,72765
cg00874051,-1.8316499707794958,-1.9107002796333064,0.07905030885381059,0.2193252172864977,0.2100877584696426,0.009237458816855115,Hypermethylated,LINC00310,8596
cg19396767,0.23249596232179223,0.28502056018727817,-0.05252459786548594,0.540201513091497,0.5492302802508441,-0.009028767159347084,Hypomethylated,KCNE2,50641
cg21156054,-0.2919281558282513,-0.24168194950364075,-0.050246206324610576,0.44958461049635173,0.458217377183214,-0.008632766686862248,Hypomethylated,LOC101928398,3969
cg07225450,0.22829931815339496,0.17995468967635386,0.0483446284770411,0.5394789073197107,0.5311434023062039,0.008335505013506772,Hypermethylated,KCNJ15,9634
cg09438382,-1.6293040066850035,-1.565558212657732,-0.06374579402727143,0.2442815415371274,0.25253035034272575,-0.008248808805598362,Hypomethylated,TSPEAR,12320
cg25206951,-0.8649945785977712,-0.8143176456833366,-0.050676932914434536,0.35444240816922096,0.3625202954879976,-0.008077887318776622,Hypomethylated,LOC101928398,9756
cg26796673,-1.0145980597787416,-1.0675073647334028,0.052909304954661174,0.33108855948742233,0.32301732545831185,0.008071234029110474,Hypermethylated,HSPA13,9040
cg24261176,-1.5442821814956653,-1.4846489178972235,-0.05963326359844179,0.2553242010630262,0.26326246319463026,-0.007938262131604035,Hypomethylated,NRIP1,94862
cg17496067,-0.10395678458190638,-0.14885428471538906,0.044897500133482676,0.48199345251860654,0.4742283770511403,0.0077650754674662426,Hypermethylated,LOC101928796,14743
cg09254980,-2.1036848682836222,-2.0317362654129525,-0.07194860287066973,0.1887484143585906,0.19650355089697832,-0.007755136538387719,Hypomethylated,LINC01694,3461
cg20746318,-1.4023124713786836,-1.347000248939185,-0.055312222439498626,0.2744802598366968,0.2821808611183029,-0.007700601281606045,Hypomethylated,ATP5PF,1613
cg17799614,-3.6123861078990824,-3.7790314384266686,0.16664533052758612,0.0755841621300704,0.0678986762285218,0.007685485901548592,Hypermethylated,LOC100506403,137486
cg07331286,-0.601351760624153,-0.6473463903870902,0.04599462976293722,0.3972766823922626,0.38966839277988696,0.0076082896123756405,Hypermethylated,NRIP1,139557
