cohort,chromosome,deltabeta,n_dmrs
PEG1,chr1,NA,NA
PEG1,chr2,-0.0019385479999999998,5
PEG1,chr3,NA,NA
PEG1,chr4,0.00798138,3
PEG1,chr5,NA,NA
PEG1,chr6,-0.0173107,6
PEG1,chr7,0.0069517,1
PEG1,chr8,-0.002099295,2
PEG1,chr9,NA,NA
PEG1,chr10,0.00139958,1
PEG1,chr11,0.00869694,1
PEG1,chr12,0.003933893333333333,3
PEG1,chr13,-0.0162561,1
PEG1,chr14,NA,NA
PEG1,chr15,NA,NA
PEG1,chr16,-0.010961605,2
PEG1,chr17,-0.02360995,2
PEG1,chr18,NA,NA
PEG1,chr19,0.010529573333333334,3
PEG1,chr20,NA,NA
PEG1,chr21,NA,NA
PEG1,chr22,-0.042596,1
PEG1,chrX,NA,NA
PEG1,chrY,NA,NA
PEG1,chrM,NA,NA
PPMI,chr1,-0.00221042689992365,2
PPMI,chr2,-0.00935603656650136,1
PPMI,chr3,-0.00994621784001155,1
PPMI,chr4,0.0181778108948069,1
PPMI,chr5,-0.0124099722231391,1
PPMI,chr6,-0.010013584008117615,2
PPMI,chr7,0.0168837712694013,1
PPMI,chr8,-0.013760401753474451,2
PPMI,chr9,NA,NA
PPMI,chr10,NA,NA
PPMI,chr11,-0.0283287718434753,1
PPMI,chr12,0.0187185459257667,1
PPMI,chr13,-0.0337744039705528,1
PPMI,chr14,NA,NA
PPMI,chr15,NA,NA
PPMI,chr16,NA,NA
PPMI,chr17,NA,NA
PPMI,chr18,NA,NA
PPMI,chr19,-0.0171067890969683,2
PPMI,chr20,NA,NA
PPMI,chr21,NA,NA
PPMI,chr22,NA,NA
PPMI,chrX,NA,NA
PPMI,chrY,NA,NA
PPMI,chrM,NA,NA
SGPD,chr1,-0.003841704,1
SGPD,chr2,4.245405e-4,2
SGPD,chr3,-0.0069387065,2
SGPD,chr4,NA,NA
SGPD,chr5,NA,NA
SGPD,chr6,8.423900000000006e-5,2
SGPD,chr7,-0.006562479666666667,3
SGPD,chr8,NA,NA
SGPD,chr9,NA,NA
SGPD,chr10,-5.9066500000000015e-5,2
SGPD,chr11,-0.004145116,4
SGPD,chr12,NA,NA
SGPD,chr13,0.001192172,2
SGPD,chr14,0.017823293,1
SGPD,chr15,0.001660921,1
SGPD,chr16,NA,NA
SGPD,chr17,NA,NA
SGPD,chr18,NA,NA
SGPD,chr19,NA,NA
SGPD,chr20,-6.71224e-4,1
SGPD,chr21,NA,NA
SGPD,chr22,-0.005742302,1
SGPD,chrX,NA,NA
SGPD,chrY,NA,NA
SGPD,chrM,NA,NA
