cpg_id,target_gene,distance_bp,Direction,Delta_Beta,P_Value,FDR_q_val,Enriched_Pathways
cg21895314,CRYAA,788,Hypomethylated,-0.013063620926718075,0.000892598722326885,0.27048887935785393,Proteins Involved in Cataract | Diabetes Induced Cataract | Age-Related Cataract
cg22669624,RRP1,3946,Hypermethylated,0.007934010054259422,0.0015056518097615367,0.27048887935785393,No Significant Pathway
cg23256367,WDR4,2585,Hypermethylated,0.012115923431913922,0.0016459769534960685,0.27048887935785393,No Significant Pathway
cg20545330,USP25,1886,Hypermethylated,0.002224814941016451,0.0030796146898718862,0.2943462107875627,SP1 (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg25940392,SIM2,6715,Hypermethylated,0.010020977065628572,0.003822281546186074,0.2943462107875627,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human)
cg06279535,PDXK,3010,Hypermethylated,0.008036524556326752,0.004417065308934693,0.2943462107875627,Pyridoxal Phosphate Binding (GO:0030170) | Vitamin B6 Binding (GO:0070279) | TEAD4 (human)
cg08823554,PTTG1IP,308,Hypomethylated,-0.0027358948965567897,0.004511908470588965,0.2943462107875627,"Negative Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043518)"
cg06230839,RIPK4,2680,Hypomethylated,-0.02966439492130457,0.005184318452283347,0.2943462107875627,No Significant Pathway
cg02579389,LINC00163,2774,Hypermethylated,0.008443483413295816,0.005373460237501145,0.2943462107875627,No Significant Pathway
cg03239638,DOP1B,0,Hypomethylated,-0.011237618117270032,0.007430693317897805,0.3363166886230108,No Significant Pathway
cg10010393,RIPK4,11415,Hypomethylated,-0.004095373612296262,0.007716142658567067,0.3363166886230108,No Significant Pathway
cg04289033,WDR4,8983,Hypomethylated,-0.010342238870930998,0.008186207430986064,0.3363166886230108,No Significant Pathway
cg26883837,COL18A1,26835,Hypomethylated,-0.00531074610334481,0.009691615131657517,0.3436562253851886,Collagen Chain Trimerization R-HSA-8948216 | Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090 | Integrin Cell Surface Interactions R-HSA-216083 | Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814 | Integrin Cell Surface Interactions | Collagen Chain Trimerization | Assembly of Collagen Fibrils and Other Multimeric Structures | Collagen Degradation | Collagen Biosynthesis and Modifying Enzymes | SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human) | Proteins Involved in Cataract
cg11852796,PDE9A,11547,Hypomethylated,-0.010177519356923015,0.009912202187540334,0.3436562253851886,SP1 (human) | TCFAP2A (human) | PCBP1 (human)
cg00254426,RWDD2B,2676,Hypermethylated,0.00041757068782477536,0.010796014675161173,0.3436562253851886,No Significant Pathway
cg09112190,LINC00322,19230,Hypermethylated,0.0025674045283133884,0.011153143217369203,0.3436562253851886,No Significant Pathway
cg05181597,UBE2G2,22434,Hypomethylated,-0.0033791325770832215,0.012754556161121445,0.36480080258691094,No Significant Pathway
cg14179031,FAM3B,8905,Hypomethylated,-0.01147369308308177,0.013319299080252327,0.36480080258691094,No Significant Pathway
cg00495860,SIM2,5890,Hypermethylated,0.00486231628317136,0.016671113720619437,0.432571529698178,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human)
cg01256260,TFF3,2119,Hypomethylated,-0.009848726633501004,0.018426670781520983,0.44879877950392627,No Significant Pathway
cg18017082,LIPI,25934,Hypermethylated,0.011596987106289425,0.019117189390633775,0.44879877950392627,No Significant Pathway
cg25795774,BACH1,3842,Hypomethylated,-0.0015615048739744397,0.02175175403459018,0.4874370335933163,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg20602417,LINC00163,0,Hypermethylated,0.0006046810423832039,0.02552249048826376,0.5470690352484363,No Significant Pathway
cg11500660,LINC01671,1487,Hypermethylated,0.0009946415209458846,0.030271086694967232,0.6218185725257852,No Significant Pathway
cg19387359,SIM2,9426,Hypomethylated,-0.0030799371650835905,0.033152510448930424,0.653767506052908,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human)
cg25360059,LINC01671,4964,Hypomethylated,-0.003749889129882611,0.03500000769977231,0.6603464822625793,No Significant Pathway
cg15514380,DYRK1A,631,Hypomethylated,-0.00943951171882082,0.037163897829555245,0.6603464822625793,"Negative Regulation of Heterochromatin Formation (GO:0031452) | Regulation of Amyloid-Beta Formation (GO:1902003) | Negative Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043518) | Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902991) | SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)"
cg07391141,LINC01671,0,Hypermethylated,0.006351943669630433,0.03889647418892225,0.6603464822625793,No Significant Pathway
cg02477557,TRPM2,3093,Hypermethylated,0.010928188949064194,0.03996796256463822,0.6603464822625793,Ligand-gated Calcium Channel Activity (GO:0099604)
cg23804585,MRPL39,4165,Hypomethylated,-0.0008211681612344535,0.040183355918615375,0.6603464822625793,SP1 (human)
cg11774346,COL18A1,27180,Hypermethylated,0.0017221255521778778,0.04157729430473519,0.6612130997494984,Collagen Chain Trimerization R-HSA-8948216 | Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090 | Integrin Cell Surface Interactions R-HSA-216083 | Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814 | Integrin Cell Surface Interactions | Collagen Chain Trimerization | Assembly of Collagen Fibrils and Other Multimeric Structures | Collagen Degradation | Collagen Biosynthesis and Modifying Enzymes | SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human) | Proteins Involved in Cataract
cg09254980,LINC01694,3461,Hypermethylated,0.008140500590879202,0.04390480007613341,0.6669886655411996,No Significant Pathway
cg18192155,WDR4,4891,Hypermethylated,0.0003752345349345987,0.045283178256315115,0.6669886655411996,No Significant Pathway
cg06486129,LINC01678,5245,Hypomethylated,-0.00662487739666362,0.04599921831318618,0.6669886655411996,No Significant Pathway
cg14627805,CRYAA,12525,Hypermethylated,0.007897781667919657,0.049503399695280746,0.6972907442792402,Proteins Involved in Cataract | Diabetes Induced Cataract | Age-Related Cataract
cg05707788,PCBP3,0,Hypermethylated,0.005954260753947893,0.05107672441351883,0.6994673648851328,No Significant Pathway
cg09546220,ERG,2783,Hypermethylated,0.004463648849987956,0.055078960272874115,0.7187939327897968,Genes Targeted By miRNAs In Adipocytes WP1992 | Genes Targeted By miRNAs In Adipocytes WP1992
cg27305917,LOC101928796,1906,Hypomethylated,-0.015208703497863907,0.05540399481949752,0.7187939327897968,No Significant Pathway
cg08136416,PDE9A,12897,Hypomethylated,-0.006336553765430408,0.057451569004631636,0.7194829226941658,SP1 (human) | TCFAP2A (human) | PCBP1 (human)
cg00740547,PICSAR,14594,Hypermethylated,0.010968892608543501,0.059396328048416394,0.7194829226941658,No Significant Pathway
cg01619490,HMGN1,3228,Hypermethylated,0.0036416151284833775,0.0627790255338979,0.7194829226941658,TEAD4 (human)
cg18326819,COL18A1,23822,Hypermethylated,0.0009038440611510712,0.06439534289920489,0.7194829226941658,Collagen Chain Trimerization R-HSA-8948216 | Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090 | Integrin Cell Surface Interactions R-HSA-216083 | Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814 | Integrin Cell Surface Interactions | Collagen Chain Trimerization | Assembly of Collagen Fibrils and Other Multimeric Structures | Collagen Degradation | Collagen Biosynthesis and Modifying Enzymes | SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human) | Proteins Involved in Cataract
cg19344545,LINC01678,3082,Hypermethylated,0.00615059280783492,0.06875301232715308,0.7194829226941658,No Significant Pathway
cg16374972,SIK1,22397,Hypermethylated,0.0002469535935969436,0.06882893192346448,0.7194829226941658,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg16087633,AIRE,3719,Hypermethylated,0.0026584331530601357,0.07124122393993351,0.7194829226941658,Thymus Development (GO:0048538)
cg23034420,ZNF295-AS1,0,Hypomethylated,-0.0007212451373275197,0.07164950944850373,0.7194829226941658,No Significant Pathway
cg22726155,LINC01678,3096,Hypermethylated,0.00632584054080032,0.07178783763760554,0.7194829226941658,No Significant Pathway
cg20466382,LRRC3,0,Hypomethylated,-0.003625044358576246,0.07377661454427016,0.7194829226941658,SP1 (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg14092208,LINC01678,8476,Hypermethylated,0.00690813121452627,0.07470108997622964,0.7194829226941658,No Significant Pathway
cg14897238,RIPK4,11071,Hypomethylated,-0.01286398141358075,0.07480858551319267,0.7194829226941658,No Significant Pathway
cg25408700,TFF3,5611,Hypermethylated,0.0005649349954177652,0.07578144375733346,0.7194829226941658,No Significant Pathway
cg15348679,ICOSLG,16386,Hypomethylated,-0.004438560058633412,0.07713889642160623,0.7194829226941658,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human) | Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218 | Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218
cg20208203,DYRK1A,34176,Hypomethylated,-0.0006470863189124154,0.07863890166973748,0.7194829226941658,"Negative Regulation of Heterochromatin Formation (GO:0031452) | Regulation of Amyloid-Beta Formation (GO:1902003) | Negative Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043518) | Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902991) | SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)"
cg09964921,KCNE1,1259,Hypermethylated,0.004053520448767167,0.07880746009226157,0.7194829226941658,Negative Regulation of Delayed Rectifier Potassium Channel Activity (GO:1902260) | Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential (GO:0098915) | Regulation of Delayed Rectifier Potassium Channel Activity (GO:1902259) | Negative Regulation of Voltage-Gated Potassium Channel Activity (GO:1903817) | Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0099625) | Potassium Ion Export Across Plasma Membrane (GO:0097623) | Membrane Repolarization During Action Potential (GO:0086011) | Membrane Repolarization During Cardiac Muscle Cell Action Potential (GO:0086013) | Ventricular Cardiac Muscle Cell Action Potential (GO:0086005) | Regulation of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307) | Membrane Repolarization (GO:0086009) | Regulation of Cardiac Muscle Cell Membrane Repolarization (GO:0099623) | Phase 3 - Rapid Repolarisation R-HSA-5576890 | Phase 2 - Plateau Phase R-HSA-5576893 | Phase 3 - Rapid Repolarisation | Phase 2 - Plateau Phase | Voltage-gated K Chnl Act Inv in Ventricular Cardiac Muscle Action Potntl Repolarization (GO:1902282) | Voltage-gated Potassium Chnl Act Inv in Cardiac Muscle Cell Action Potential Repolarization (GO:0086008) | Potassium Channel Regulator Activity (GO:0015459) | Genes Targeted By miRNAs In Adipocytes WP1992 | Genes Targeted By miRNAs In Adipocytes WP1992 | Proteins Involved in Congenital Deafness
cg22560083,CLIC6,2759,Hypomethylated,-0.006733493743791508,0.0819514990024648,0.7218208356205389,No Significant Pathway
cg19856593,SIM2,7178,Hypermethylated,0.004945144002301255,0.08275670821138459,0.7218208356205389,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human)
cg04847243,LINC00319,2155,Hypomethylated,-0.0033277478783045877,0.08345595868229354,0.7218208356205389,No Significant Pathway
cg03741824,LINC01690,17535,Hypomethylated,-0.0010294331739778562,0.08851427735253262,0.7223159019450884,No Significant Pathway
cg08309687,LINC00649,0,Hypermethylated,0.011468342088796324,0.08905530880206063,0.7223159019450884,No Significant Pathway
cg16029659,SUMO3,2961,Hypermethylated,0.005935624332138234,0.09107446745706568,0.7223159019450884,No Significant Pathway
cg08461903,LRRC3,2746,Hypomethylated,-0.006604482637585396,0.09305202801979207,0.7223159019450884,SP1 (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg05532966,RIPK4,11585,Hypomethylated,-0.013222785739586518,0.0930883673856126,0.7223159019450884,No Significant Pathway
cg14641018,FAM3B,12613,Hypermethylated,0.0016812419554321778,0.09331218632189325,0.7223159019450884,No Significant Pathway
cg04047566,FAM3B,13435,Hypermethylated,0.00316136639876774,0.09451204629269756,0.7223159019450884,No Significant Pathway
cg06592890,RIPPLY3,2348,Hypomethylated,-0.0018415550884471887,0.09523434812663438,0.7223159019450884,No Significant Pathway
cg08031958,LINC01694,3841,Hypomethylated,-0.012781173833636417,0.0972954990995458,0.7267678947890315,No Significant Pathway
cg15367378,HLCS,3858,Hypomethylated,-0.000376268115376166,0.09976365981715275,0.7340818550724821,No Significant Pathway
cg26703511,SIK1,16942,Hypomethylated,-0.0007392194044570921,0.10614283312401883,0.7464229658358683,SP1 (human) | TCFAP2A (human) | TEAD4 (human) | PCBP1 (human) | SP3 (human)
cg06101661,LINC00163,2592,Hypermethylated,0.006609465383791702,0.10623902073757388,0.7464229658358683,No Significant Pathway
cg23897377,PICSAR,17311,Hypomethylated,-0.00021699132699004586,0.10772303781282214,0.7464229658358683,No Significant Pathway
